yaxcatd (C:\Program Files\Tableau\Tableau 2021.1\bin\yaxcat\yaxcatd.exe) built at dc7ad89 listening on 127.0.0.1:55279 with 8 worker threads.
2021-04-27T16:03:49+0530 0.026ms; [no ensemble]::ping: 
2021-04-27T16:03:49+0530 0.011ms; [no ensemble]::ping: 
2021-04-27T16:03:49+0530 8.088ms; RemoteEnsemble(16 models, 1 columns)::upload_data: 127x1, dt_U2BM636D4CJFYNZHZMBDJ6I5
2021-04-27T16:03:49+0530 15.203ms; RemoteEnsemble(16 models, 1 columns)::simulate_given_values: n = 100, 1 targets, 1x0 givens
2021-04-27T16:03:49+0530 0.046ms; [no ensemble]::delete_data: dt_U2BM636D4CJFYNZHZMBDJ6I5, deleted = yes
2021-04-27T16:03:50+0530 0.734ms; RemoteEnsemble(16 models, 1 columns)::upload_data: 127x1, dt_BIVJYXBGZGDHHQPNU5H6ARTD
2021-04-27T16:03:50+0530 1.956ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 2.229ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 2.374ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: excess kurtosis of column 0 given 1x0
2021-04-27T16:03:50+0530 0.025ms; [no ensemble]::delete_data: dt_BIVJYXBGZGDHHQPNU5H6ARTD, deleted = yes
2021-04-27T16:03:50+0530 0.729ms; RemoteEnsemble(16 models, 1 columns)::upload_data: 127x1, dt_YMZFLJR4Z3FUEFIFD7CUY4DV
2021-04-27T16:03:50+0530 1.697ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 1.494ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 1.691ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: excess kurtosis of column 0 given 1x0
2021-04-27T16:03:50+0530 0.045ms; [no ensemble]::delete_data: dt_YMZFLJR4Z3FUEFIFD7CUY4DV, deleted = yes
2021-04-27T16:03:50+0530 0.715ms; RemoteEnsemble(16 models, 1 columns)::upload_data: 127x1, dt_CGTRFPX2UFEWXFTVVVUWGRAK
2021-04-27T16:03:50+0530 1.978ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 2.365ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 1.991ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: excess kurtosis of column 0 given 1x0
2021-04-27T16:03:50+0530 0.087ms; [no ensemble]::delete_data: dt_CGTRFPX2UFEWXFTVVVUWGRAK, deleted = yes
2021-04-27T16:03:50+0530 0.735ms; RemoteEnsemble(16 models, 1 columns)::upload_data: 127x1, dt_O2KTLDZYVY2XKBSP2ZXILMWH
2021-04-27T16:03:50+0530 1.416ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 1.033ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 1.411ms; RemoteEnsemble(16 models, 1 columns)::univariate_stat: excess kurtosis of column 0 given 1x0
2021-04-27T16:03:50+0530 0.044ms; [no ensemble]::delete_data: dt_O2KTLDZYVY2XKBSP2ZXILMWH, deleted = yes
2021-04-27T16:03:50+0530 0.839ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_XFRZEYOVHUWH5QH4TCZ7GVIF
2021-04-27T16:03:50+0530 1.744ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.088ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 4.217ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.089ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.104ms; [no ensemble]::delete_data: dt_XFRZEYOVHUWH5QH4TCZ7GVIF, deleted = yes
2021-04-27T16:03:50+0530 0.736ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_TYI3QU23CHG2WRQSAJCNXZP3
2021-04-27T16:03:50+0530 8.067ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 832x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 27.666ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 832x1 targets, 832x1 givens
2021-04-27T16:03:50+0530 0.278ms; [no ensemble]::delete_data: dt_TYI3QU23CHG2WRQSAJCNXZP3, deleted = yes
2021-04-27T16:03:50+0530 0.787ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_KY3RZQCL2ONSYSGZAVF7I3ZH
2021-04-27T16:03:50+0530 1.685ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.057ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.250ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.131ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.173ms; [no ensemble]::delete_data: dt_KY3RZQCL2ONSYSGZAVF7I3ZH, deleted = yes
2021-04-27T16:03:50+0530 0.770ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_XXRE2A5HM5XMINPRIY6D27KR
2021-04-27T16:03:50+0530 5.480ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 624x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 19.695ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 624x1 targets, 624x1 givens
2021-04-27T16:03:50+0530 0.240ms; [no ensemble]::delete_data: dt_XXRE2A5HM5XMINPRIY6D27KR, deleted = yes
2021-04-27T16:03:50+0530 0.874ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_WMRQR2BEYQLLGH2FOQ6HRRWA
2021-04-27T16:03:50+0530 1.629ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.094ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.375ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.081ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.112ms; [no ensemble]::delete_data: dt_WMRQR2BEYQLLGH2FOQ6HRRWA, deleted = yes
2021-04-27T16:03:50+0530 0.732ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_JZKPY2KZHFPN4QAMB4D7T7RO
2021-04-27T16:03:50+0530 4.789ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 528x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 21.572ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 528x1 targets, 528x1 givens
2021-04-27T16:03:50+0530 0.162ms; [no ensemble]::delete_data: dt_JZKPY2KZHFPN4QAMB4D7T7RO, deleted = yes
2021-04-27T16:03:50+0530 0.745ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_FUH3EICEFORW3KEO2ZH7O6UU
2021-04-27T16:03:50+0530 1.617ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.057ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.283ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.126ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.155ms; [no ensemble]::delete_data: dt_FUH3EICEFORW3KEO2ZH7O6UU, deleted = yes
